תאריך,אירוע,סיווג
2019-01-05,יום שישי,יום רגיל
2019-01-06,שבת,חג
2019-01-12,יום שישי,יום רגיל
2019-01-13,שבת,חג
2019-01-19,יום שישי,יום רגיל
2019-01-20,שבת,חג
2019-01-26,יום שישי,יום רגיל
2019-01-27,שבת,חג
2019-02-02,יום שישי,יום רגיל
2019-02-03,שבת,חג
2019-02-09,יום שישי,יום רגיל
2019-02-10,שבת,חג
2019-02-16,יום שישי,יום רגיל
2019-02-17,שבת,חג
2019-02-18,פורים,ערב חג
2019-02-19,פורים,חג
2019-02-23,יום שישי,יום רגיל
2019-02-24,שבת,חג
2019-03-02,יום שישי,יום רגיל
2019-03-03,שבת,חג
2019-03-09,יום שישי,יום רגיל
2019-03-10,שבת,חג
2019-03-16,יום שישי,יום רגיל
2019-03-17,שבת,חג
2019-03-23,יום שישי,יום רגיל
2019-03-24,שבת,חג
2019-03-30,יום שישי,יום רגיל
2019-03-31,שבת,חג
2019-04-06,יום שישי,יום רגיל
2019-04-05,ראש השנה,ערב חג
2019-04-06,ראש השנה,חג
2019-04-07,שבת,חג
2019-04-06,ראש השנה,ערב חג
2019-04-07,ראש השנה,חג
2019-04-13,יום שישי,יום רגיל
2019-04-14,שבת,חג
2019-04-14,יום כיפור,ערב חג
2019-04-15,יום כיפור,חג
2019-04-20,יום שישי,יום רגיל
2019-04-19,סוכות,ערב חג
2019-04-20,סוכות,חג
2019-04-21,שבת,חג
2019-04-21,סוכות,חול המועד
2019-04-22,סוכות,חול המועד
2019-04-23,סוכות,חול המועד
2019-04-24,סוכות,חול המועד
2019-04-25,סוכות,חול המועד
2019-04-27,יום שישי,יום רגיל
2019-04-26,שמחת תורה,ערב חג
2019-04-27,שמחת תורה,חג
2019-04-28,שבת,חג
2019-05-04,יום שישי,יום רגיל
2019-05-05,שבת,חג
2019-05-11,יום שישי,יום רגיל
2019-05-12,שבת,חג
2019-05-18,יום שישי,יום רגיל
2019-05-19,שבת,חג
2019-05-25,יום שישי,יום רגיל
2019-05-26,שבת,חג
2019-06-01,יום שישי,יום רגיל
2019-06-02,שבת,חג
2019-06-08,יום שישי,יום רגיל
2019-06-09,שבת,חג
2019-06-15,יום שישי,יום רגיל
2019-06-16,שבת,חג
2019-06-22,יום שישי,יום רגיל
2019-06-23,שבת,חג
2019-06-29,יום שישי,יום רגיל
2019-06-30,שבת,חג
2019-07-06,יום שישי,יום רגיל
2019-07-07,שבת,חג
2019-07-13,יום שישי,יום רגיל
2019-07-14,שבת,חג
2019-07-20,יום שישי,יום רגיל
2019-07-21,שבת,חג
2019-07-27,יום שישי,יום רגיל
2019-07-28,שבת,חג
2019-08-03,יום שישי,יום רגיל
2019-08-04,שבת,חג
2019-08-10,יום שישי,יום רגיל
2019-08-11,שבת,חג
2019-08-17,יום שישי,יום רגיל
2019-08-18,שבת,חג
2019-08-24,יום שישי,יום רגיל
2019-08-25,שבת,חג
2019-08-31,יום שישי,יום רגיל
2019-09-01,שבת,חג
2019-09-07,יום שישי,יום רגיל
2019-09-08,שבת,חג
2019-09-14,יום שישי,יום רגיל
2019-09-15,שבת,חג
2019-09-21,יום שישי,יום רגיל
2019-09-22,שבת,חג
2019-09-28,יום שישי,יום רגיל
2019-09-29,שבת,חג
2019-10-05,יום שישי,יום רגיל
2019-10-06,שבת,חג
2019-10-12,יום שישי,יום רגיל
2019-10-13,שבת,חג
2019-10-13,פסח,ערב חג
2019-10-14,פסח,חג
2019-10-14,פסח,ערב חג
2019-10-15,פסח,חג
2019-10-15,פסח,חול המועד
2019-10-16,פסח,חול המועד
2019-10-17,פסח,חול המועד
2019-10-18,פסח,חול המועד
2019-10-19,יום שישי,יום רגיל
2019-10-19,פסח,חול המועד
2019-10-20,שבת,חג
2019-10-26,יום שישי,יום רגיל
2019-10-27,שבת,חג
2019-11-02,יום שישי,יום רגיל
2019-11-03,שבת,חג
2019-11-09,יום שישי,יום רגיל
2019-11-10,שבת,חג
2019-11-16,יום שישי,יום רגיל
2019-11-17,שבת,חג
2019-11-23,יום שישי,יום רגיל
2019-11-24,שבת,חג
2019-11-30,יום שישי,יום רגיל
2019-12-01,שבת,חג
2019-12-03,שבועות,ערב חג
2019-12-04,שבועות,חג
2019-12-07,יום שישי,יום רגיל
2019-12-08,שבת,חג
2019-12-14,יום שישי,יום רגיל
2019-12-15,שבת,חג
2019-12-21,יום שישי,יום רגיל
2019-12-22,שבת,חג
2019-12-28,יום שישי,יום רגיל
2019-12-29,שבת,חג
2020-01-04,יום שישי,יום רגיל
2020-01-05,שבת,חג
2020-01-11,יום שישי,יום רגיל
2020-01-12,שבת,חג
2020-01-18,יום שישי,יום רגיל
2020-01-19,שבת,חג
2020-01-25,יום שישי,יום רגיל
2020-01-26,שבת,חג
2020-02-01,יום שישי,יום רגיל
2020-02-02,שבת,חג
2020-02-08,יום שישי,יום רגיל
2020-02-09,שבת,חג
2020-02-15,יום שישי,יום רגיל
2020-02-16,שבת,חג
2020-02-22,יום שישי,יום רגיל
2020-02-23,שבת,חג
2020-02-29,יום שישי,יום רגיל
2020-03-01,שבת,חג
2020-03-07,יום שישי,יום רגיל
2020-03-08,שבת,חג
2020-03-09,פורים,ערב חג
2020-03-10,פורים,חג
2020-03-14,יום שישי,יום רגיל
2020-03-15,שבת,חג
2020-03-21,יום שישי,יום רגיל
2020-03-22,שבת,חג
2020-03-25,ראש השנה,ערב חג
2020-03-26,ראש השנה,חג
2020-03-26,ראש השנה,ערב חג
2020-03-27,ראש השנה,חג
2020-03-28,יום שישי,יום רגיל
2020-03-29,שבת,חג
2020-04-04,יום שישי,יום רגיל
2020-04-03,יום כיפור,ערב חג
2020-04-04,יום כיפור,חג
2020-04-05,שבת,חג
2020-04-08,סוכות,ערב חג
2020-04-09,סוכות,חג
2020-04-10,סוכות,חול המועד
2020-04-11,יום שישי,יום רגיל
2020-04-11,סוכות,חול המועד
2020-04-12,שבת,חג
2020-04-12,סוכות,חול המועד
2020-04-13,סוכות,חול המועד
2020-04-14,סוכות,חול המועד
2020-04-15,שמחת תורה,ערב חג
2020-04-16,שמחת תורה,חג
2020-04-18,יום שישי,יום רגיל
2020-04-19,שבת,חג
2020-04-25,יום שישי,יום רגיל
2020-04-26,שבת,חג
2020-05-02,יום שישי,יום רגיל
2020-05-03,שבת,חג
2020-05-09,יום שישי,יום רגיל
2020-05-10,שבת,חג
2020-05-16,יום שישי,יום רגיל
2020-05-17,שבת,חג
2020-05-23,יום שישי,יום רגיל
2020-05-24,שבת,חג
2020-05-30,יום שישי,יום רגיל
2020-05-31,שבת,חג
2020-06-06,יום שישי,יום רגיל
2020-06-07,שבת,חג
2020-06-13,יום שישי,יום רגיל
2020-06-14,שבת,חג
2020-06-20,יום שישי,יום רגיל
2020-06-21,שבת,חג
2020-06-27,יום שישי,יום רגיל
2020-06-28,שבת,חג
2020-07-04,יום שישי,יום רגיל
2020-07-05,שבת,חג
2020-07-11,יום שישי,יום רגיל
2020-07-12,שבת,חג
2020-07-18,יום שישי,יום רגיל
2020-07-19,שבת,חג
2020-07-25,יום שישי,יום רגיל
2020-07-26,שבת,חג
2020-08-01,יום שישי,יום רגיל
2020-08-02,שבת,חג
2020-08-08,יום שישי,יום רגיל
2020-08-09,שבת,חג
2020-08-15,יום שישי,יום רגיל
2020-08-16,שבת,חג
2020-08-22,יום שישי,יום רגיל
2020-08-23,שבת,חג
2020-08-29,יום שישי,יום רגיל
2020-08-30,שבת,חג
2020-09-05,יום שישי,יום רגיל
2020-09-06,שבת,חג
2020-09-12,יום שישי,יום רגיל
2020-09-13,שבת,חג
2020-09-19,יום שישי,יום רגיל
2020-09-20,שבת,חג
2020-09-26,יום שישי,יום רגיל
2020-09-27,שבת,חג
2020-10-03,יום שישי,יום רגיל
2020-10-02,פסח,ערב חג
2020-10-03,פסח,חג
2020-10-04,שבת,חג
2020-10-03,פסח,ערב חג
2020-10-04,פסח,חג
2020-10-04,פסח,חול המועד
2020-10-05,פסח,חול המועד
2020-10-06,פסח,חול המועד
2020-10-07,פסח,חול המועד
2020-10-08,פסח,חול המועד
2020-10-10,יום שישי,יום רגיל
2020-10-11,שבת,חג
2020-10-17,יום שישי,יום רגיל
2020-10-18,שבת,חג
2020-10-24,יום שישי,יום רגיל
2020-10-25,שבת,חג
2020-10-31,יום שישי,יום רגיל
2020-11-01,שבת,חג
2020-11-07,יום שישי,יום רגיל
2020-11-08,שבת,חג
2020-11-14,יום שישי,יום רגיל
2020-11-15,שבת,חג
2020-11-21,יום שישי,יום רגיל
2020-11-22,שבת,חג
2020-11-21,שבועות,ערב חג
2020-11-22,שבועות,חג
2020-11-28,יום שישי,יום רגיל
2020-11-29,שבת,חג
2020-12-05,יום שישי,יום רגיל
2020-12-06,שבת,חג
2020-12-12,יום שישי,יום רגיל
2020-12-13,שבת,חג
2020-12-19,יום שישי,יום רגיל
2020-12-20,שבת,חג
2020-12-26,יום שישי,יום רגיל
2020-12-27,שבת,חג
2021-01-02,יום שישי,יום רגיל
2021-01-03,שבת,חג
2021-01-09,יום שישי,יום רגיל
2021-01-10,שבת,חג
2021-01-16,יום שישי,יום רגיל
2021-01-17,שבת,חג
2021-01-23,יום שישי,יום רגיל
2021-01-24,שבת,חג
2021-01-30,יום שישי,יום רגיל
2021-01-31,שבת,חג
2021-02-06,יום שישי,יום רגיל
2021-02-07,שבת,חג
2021-02-13,יום שישי,יום רגיל
2021-02-14,שבת,חג
2021-02-20,יום שישי,יום רגיל
2021-02-21,שבת,חג
2021-02-25,פורים,ערב חג
2021-02-26,פורים,חג
2021-02-27,יום שישי,יום רגיל
2021-02-28,שבת,חג
2021-03-06,יום שישי,יום רגיל
2021-03-07,שבת,חג
2021-03-13,יום שישי,יום רגיל
2021-03-14,שבת,חג
2021-03-13,ראש השנה,ערב חג
2021-03-14,ראש השנה,חג
2021-03-14,ראש השנה,ערב חג
2021-03-15,ראש השנה,חג
2021-03-20,יום שישי,יום רגיל
2021-03-21,שבת,חג
2021-03-22,יום כיפור,ערב חג
2021-03-23,יום כיפור,חג
2021-03-27,יום שישי,יום רגיל
2021-03-28,שבת,חג
2021-03-27,סוכות,ערב חג
2021-03-28,סוכות,חג
2021-03-29,סוכות,חול המועד
2021-03-30,סוכות,חול המועד
2021-03-31,סוכות,חול המועד
2021-04-01,סוכות,חול המועד
2021-04-02,סוכות,חול המועד
2021-04-03,יום שישי,יום רגיל
2021-04-04,שבת,חג
2021-04-03,שמחת תורה,ערב חג
2021-04-04,שמחת תורה,חג
2021-04-10,יום שישי,יום רגיל
2021-04-11,שבת,חג
2021-04-17,יום שישי,יום רגיל
2021-04-18,שבת,חג
2021-04-24,יום שישי,יום רגיל
2021-04-25,שבת,חג
2021-05-01,יום שישי,יום רגיל
2021-05-02,שבת,חג
2021-05-08,יום שישי,יום רגיל
2021-05-09,שבת,חג
2021-05-15,יום שישי,יום רגיל
2021-05-16,שבת,חג
2021-05-22,יום שישי,יום רגיל
2021-05-23,שבת,חג
2021-05-29,יום שישי,יום רגיל
2021-05-30,שבת,חג
2021-06-05,יום שישי,יום רגיל
2021-06-06,שבת,חג
2021-06-12,יום שישי,יום רגיל
2021-06-13,שבת,חג
2021-06-19,יום שישי,יום רגיל
2021-06-20,שבת,חג
2021-06-26,יום שישי,יום רגיל
2021-06-27,שבת,חג
2021-07-03,יום שישי,יום רגיל
2021-07-04,שבת,חג
2021-07-10,יום שישי,יום רגיל
2021-07-11,שבת,חג
2021-07-17,יום שישי,יום רגיל
2021-07-18,שבת,חג
2021-07-24,יום שישי,יום רגיל
2021-07-25,שבת,חג
2021-07-31,יום שישי,יום רגיל
2021-08-01,שבת,חג
2021-08-07,יום שישי,יום רגיל
2021-08-08,שבת,חג
2021-08-14,יום שישי,יום רגיל
2021-08-15,שבת,חג
2021-08-21,יום שישי,יום רגיל
2021-08-22,שבת,חג
2021-08-28,יום שישי,יום רגיל
2021-08-29,שבת,חג
2021-09-04,יום שישי,יום רגיל
2021-09-05,שבת,חג
2021-09-11,יום שישי,יום רגיל
2021-09-12,שבת,חג
2021-09-18,יום שישי,יום רגיל
2021-09-19,שבת,חג
2021-09-20,פסח,ערב חג
2021-09-21,פסח,חג
2021-09-21,פסח,ערב חג
2021-09-22,פסח,חג
2021-09-22,פסח,חול המועד
2021-09-23,פסח,חול המועד
2021-09-24,פסח,חול המועד
2021-09-25,יום שישי,יום רגיל
2021-09-25,פסח,חול המועד
2021-09-26,שבת,חג
2021-09-26,פסח,חול המועד
2021-10-02,יום שישי,יום רגיל
2021-10-03,שבת,חג
2021-10-09,יום שישי,יום רגיל
2021-10-10,שבת,חג
2021-10-16,יום שישי,יום רגיל
2021-10-17,שבת,חג
2021-10-23,יום שישי,יום רגיל
2021-10-24,שבת,חג
2021-10-30,יום שישי,יום רגיל
2021-10-31,שבת,חג
2021-11-06,יום שישי,יום רגיל
2021-11-07,שבת,חג
2021-11-09,שבועות,ערב חג
2021-11-10,שבועות,חג
2021-11-13,יום שישי,יום רגיל
2021-11-14,שבת,חג
2021-11-20,יום שישי,יום רגיל
2021-11-21,שבת,חג
2021-11-27,יום שישי,יום רגיל
2021-11-28,שבת,חג
2021-12-04,יום שישי,יום רגיל
2021-12-05,שבת,חג
2021-12-11,יום שישי,יום רגיל
2021-12-12,שבת,חג
2021-12-18,יום שישי,יום רגיל
2021-12-19,שבת,חג
2021-12-25,יום שישי,יום רגיל
2021-12-26,שבת,חג
2022-01-01,יום שישי,יום רגיל
2022-01-02,שבת,חג
2022-01-08,יום שישי,יום רגיל
2022-01-09,שבת,חג
2022-01-15,יום שישי,יום רגיל
2022-01-16,שבת,חג
2022-01-22,יום שישי,יום רגיל
2022-01-23,שבת,חג
2022-01-29,יום שישי,יום רגיל
2022-01-30,שבת,חג
2022-02-05,יום שישי,יום רגיל
2022-02-06,שבת,חג
2022-02-12,יום שישי,יום רגיל
2022-02-13,שבת,חג
2022-02-14,פורים,ערב חג
2022-02-15,פורים,חג
2022-02-19,יום שישי,יום רגיל
2022-02-20,שבת,חג
2022-02-26,יום שישי,יום רגיל
2022-02-27,שבת,חג
