תאריך,אירוע,סיווג
2022-03-05,יום שישי,יום רגיל
2022-03-06,שבת,חג
2022-03-12,יום שישי,יום רגיל
2022-03-13,שבת,חג
2022-03-19,יום שישי,יום רגיל
2022-03-20,שבת,חג
2022-03-26,יום שישי,יום רגיל
2022-03-27,שבת,חג
2022-04-02,יום שישי,יום רגיל
2022-04-01,ראש השנה,ערב חג
2022-04-02,ראש השנה,חג
2022-04-03,שבת,חג
2022-04-02,ראש השנה,ערב חג
2022-04-03,ראש השנה,חג
2022-04-09,יום שישי,יום רגיל
2022-04-10,שבת,חג
2022-04-10,יום כיפור,ערב חג
2022-04-11,יום כיפור,חג
2022-04-16,יום שישי,יום רגיל
2022-04-15,סוכות,ערב חג
2022-04-16,סוכות,חג
2022-04-17,שבת,חג
2022-04-17,סוכות,חול המועד
2022-04-18,סוכות,חול המועד
2022-04-19,סוכות,חול המועד
2022-04-20,סוכות,חול המועד
2022-04-21,סוכות,חול המועד
2022-04-23,יום שישי,יום רגיל
2022-04-22,שמחת תורה,ערב חג
2022-04-23,שמחת תורה,חג
2022-04-24,שבת,חג
2022-04-30,יום שישי,יום רגיל
2022-05-01,שבת,חג
2022-05-07,יום שישי,יום רגיל
2022-05-08,שבת,חג
2022-05-14,יום שישי,יום רגיל
2022-05-15,שבת,חג
2022-05-21,יום שישי,יום רגיל
2022-05-22,שבת,חג
2022-05-28,יום שישי,יום רגיל
2022-05-29,שבת,חג
2022-06-04,יום שישי,יום רגיל
2022-06-05,שבת,חג
2022-06-11,יום שישי,יום רגיל
2022-06-12,שבת,חג
2022-06-18,יום שישי,יום רגיל
2022-06-19,שבת,חג
2022-06-25,יום שישי,יום רגיל
2022-06-26,שבת,חג
2022-07-02,יום שישי,יום רגיל
2022-07-03,שבת,חג
2022-07-09,יום שישי,יום רגיל
2022-07-10,שבת,חג
2022-07-16,יום שישי,יום רגיל
2022-07-17,שבת,חג
2022-07-23,יום שישי,יום רגיל
2022-07-24,שבת,חג
2022-07-30,יום שישי,יום רגיל
2022-07-31,שבת,חג
2022-08-06,יום שישי,יום רגיל
2022-08-07,שבת,חג
2022-08-13,יום שישי,יום רגיל
2022-08-14,שבת,חג
2022-08-20,יום שישי,יום רגיל
2022-08-21,שבת,חג
2022-08-27,יום שישי,יום רגיל
2022-08-28,שבת,חג
2022-09-03,יום שישי,יום רגיל
2022-09-04,שבת,חג
2022-09-10,יום שישי,יום רגיל
2022-09-11,שבת,חג
2022-09-17,יום שישי,יום רגיל
2022-09-18,שבת,חג
2022-09-24,יום שישי,יום רגיל
2022-09-25,שבת,חג
2022-10-01,יום שישי,יום רגיל
2022-10-02,שבת,חג
2022-10-08,יום שישי,יום רגיל
2022-10-09,שבת,חג
2022-10-09,פסח,ערב חג
2022-10-10,פסח,חג
2022-10-10,פסח,ערב חג
2022-10-11,פסח,חג
2022-10-11,פסח,חול המועד
2022-10-12,פסח,חול המועד
2022-10-13,פסח,חול המועד
2022-10-14,פסח,חול המועד
2022-10-15,יום שישי,יום רגיל
2022-10-15,פסח,חול המועד
2022-10-16,שבת,חג
2022-10-22,יום שישי,יום רגיל
2022-10-23,שבת,חג
2022-10-29,יום שישי,יום רגיל
2022-10-30,שבת,חג
2022-11-05,יום שישי,יום רגיל
2022-11-06,שבת,חג
2022-11-12,יום שישי,יום רגיל
2022-11-13,שבת,חג
2022-11-19,יום שישי,יום רגיל
2022-11-20,שבת,חג
2022-11-26,יום שישי,יום רגיל
2022-11-27,שבת,חג
2022-11-29,שבועות,ערב חג
2022-11-30,שבועות,חג
2022-12-03,יום שישי,יום רגיל
2022-12-04,שבת,חג
2022-12-10,יום שישי,יום רגיל
2022-12-11,שבת,חג
2022-12-17,יום שישי,יום רגיל
2022-12-18,שבת,חג
2022-12-24,יום שישי,יום רגיל
2022-12-25,שבת,חג
2022-12-31,יום שישי,יום רגיל
2023-01-01,שבת,חג
2023-01-07,יום שישי,יום רגיל
2023-01-08,שבת,חג
2023-01-14,יום שישי,יום רגיל
2023-01-15,שבת,חג
2023-01-21,יום שישי,יום רגיל
2023-01-22,שבת,חג
2023-01-28,יום שישי,יום רגיל
2023-01-29,שבת,חג
2023-02-04,יום שישי,יום רגיל
2023-02-05,שבת,חג
2023-02-11,יום שישי,יום רגיל
2023-02-12,שבת,חג
2023-02-18,יום שישי,יום רגיל
2023-02-19,שבת,חג
2023-02-25,יום שישי,יום רגיל
2023-02-26,שבת,חג
2023-03-04,יום שישי,יום רגיל
2023-03-05,שבת,חג
2023-03-06,פורים,ערב חג
2023-03-07,פורים,חג
2023-03-11,יום שישי,יום רגיל
2023-03-12,שבת,חג
2023-03-18,יום שישי,יום רגיל
2023-03-19,שבת,חג
2023-03-22,ראש השנה,ערב חג
2023-03-23,ראש השנה,חג
2023-03-23,ראש השנה,ערב חג
2023-03-24,ראש השנה,חג
2023-03-25,יום שישי,יום רגיל
2023-03-26,שבת,חג
2023-04-01,יום שישי,יום רגיל
2023-03-31,יום כיפור,ערב חג
2023-04-01,יום כיפור,חג
2023-04-02,שבת,חג
2023-04-05,סוכות,ערב חג
2023-04-06,סוכות,חג
2023-04-07,סוכות,חול המועד
2023-04-08,יום שישי,יום רגיל
2023-04-08,סוכות,חול המועד
2023-04-09,שבת,חג
2023-04-09,סוכות,חול המועד
2023-04-10,סוכות,חול המועד
2023-04-11,סוכות,חול המועד
2023-04-12,שמחת תורה,ערב חג
2023-04-13,שמחת תורה,חג
2023-04-15,יום שישי,יום רגיל
2023-04-16,שבת,חג
2023-04-22,יום שישי,יום רגיל
2023-04-23,שבת,חג
2023-04-29,יום שישי,יום רגיל
2023-04-30,שבת,חג
2023-05-06,יום שישי,יום רגיל
2023-05-07,שבת,חג
2023-05-13,יום שישי,יום רגיל
2023-05-14,שבת,חג
2023-05-20,יום שישי,יום רגיל
2023-05-21,שבת,חג
2023-05-27,יום שישי,יום רגיל
2023-05-28,שבת,חג
2023-06-03,יום שישי,יום רגיל
2023-06-04,שבת,חג
2023-06-10,יום שישי,יום רגיל
2023-06-11,שבת,חג
2023-06-17,יום שישי,יום רגיל
2023-06-18,שבת,חג
2023-06-24,יום שישי,יום רגיל
2023-06-25,שבת,חג
2023-07-01,יום שישי,יום רגיל
2023-07-02,שבת,חג
2023-07-08,יום שישי,יום רגיל
2023-07-09,שבת,חג
2023-07-15,יום שישי,יום רגיל
2023-07-16,שבת,חג
2023-07-22,יום שישי,יום רגיל
2023-07-23,שבת,חג
2023-07-29,יום שישי,יום רגיל
2023-07-30,שבת,חג
2023-08-05,יום שישי,יום רגיל
2023-08-06,שבת,חג
2023-08-12,יום שישי,יום רגיל
2023-08-13,שבת,חג
2023-08-19,יום שישי,יום רגיל
2023-08-20,שבת,חג
2023-08-26,יום שישי,יום רגיל
2023-08-27,שבת,חג
2023-09-02,יום שישי,יום רגיל
2023-09-03,שבת,חג
2023-09-09,יום שישי,יום רגיל
2023-09-10,שבת,חג
2023-09-16,יום שישי,יום רגיל
2023-09-17,שבת,חג
2023-09-23,יום שישי,יום רגיל
2023-09-24,שבת,חג
2023-09-30,יום שישי,יום רגיל
2023-09-29,פסח,ערב חג
2023-09-30,פסח,חג
2023-10-01,שבת,חג
2023-09-30,פסח,ערב חג
2023-10-01,פסח,חג
2023-10-01,פסח,חול המועד
2023-10-02,פסח,חול המועד
2023-10-03,פסח,חול המועד
2023-10-04,פסח,חול המועד
2023-10-05,פסח,חול המועד
2023-10-07,יום שישי,יום רגיל
2023-10-08,שבת,חג
2023-10-14,יום שישי,יום רגיל
2023-10-15,שבת,חג
2023-10-21,יום שישי,יום רגיל
2023-10-22,שבת,חג
2023-10-28,יום שישי,יום רגיל
2023-10-29,שבת,חג
2023-11-04,יום שישי,יום רגיל
2023-11-05,שבת,חג
2023-11-11,יום שישי,יום רגיל
2023-11-12,שבת,חג
2023-11-18,יום שישי,יום רגיל
2023-11-19,שבת,חג
2023-11-18,שבועות,ערב חג
2023-11-19,שבועות,חג
2023-11-25,יום שישי,יום רגיל
2023-11-26,שבת,חג
2023-12-02,יום שישי,יום רגיל
2023-12-03,שבת,חג
2023-12-09,יום שישי,יום רגיל
2023-12-10,שבת,חג
2023-12-16,יום שישי,יום רגיל
2023-12-17,שבת,חג
2023-12-23,יום שישי,יום רגיל
2023-12-24,שבת,חג
2023-12-30,יום שישי,יום רגיל
2023-12-31,שבת,חג
2024-01-06,יום שישי,יום רגיל
2024-01-07,שבת,חג
2024-01-13,יום שישי,יום רגיל
2024-01-14,שבת,חג
2024-01-20,יום שישי,יום רגיל
2024-01-21,שבת,חג
2024-01-27,יום שישי,יום רגיל
2024-01-28,שבת,חג
2024-02-03,יום שישי,יום רגיל
2024-02-04,שבת,חג
2024-02-10,יום שישי,יום רגיל
2024-02-11,שבת,חג
2024-02-17,יום שישי,יום רגיל
2024-02-18,שבת,חג
2024-02-22,פורים,ערב חג
2024-02-23,פורים,חג
2024-02-24,יום שישי,יום רגיל
2024-02-25,שבת,חג
2024-03-02,יום שישי,יום רגיל
2024-03-03,שבת,חג
2024-03-09,יום שישי,יום רגיל
2024-03-10,שבת,חג
2024-03-16,יום שישי,יום רגיל
2024-03-17,שבת,חג
2024-03-23,יום שישי,יום רגיל
2024-03-24,שבת,חג
2024-03-30,יום שישי,יום רגיל
2024-03-31,שבת,חג
2024-04-06,יום שישי,יום רגיל
2024-04-07,שבת,חג
2024-04-08,ראש השנה,ערב חג
2024-04-09,ראש השנה,חג
2024-04-09,ראש השנה,ערב חג
2024-04-10,ראש השנה,חג
2024-04-13,יום שישי,יום רגיל
2024-04-14,שבת,חג
2024-04-17,יום כיפור,ערב חג
2024-04-18,יום כיפור,חג
2024-04-20,יום שישי,יום רגיל
2024-04-21,שבת,חג
2024-04-22,סוכות,ערב חג
2024-04-23,סוכות,חג
2024-04-24,סוכות,חול המועד
2024-04-25,סוכות,חול המועד
2024-04-26,סוכות,חול המועד
2024-04-27,יום שישי,יום רגיל
2024-04-27,סוכות,חול המועד
2024-04-28,שבת,חג
2024-04-28,סוכות,חול המועד
2024-04-29,שמחת תורה,ערב חג
2024-04-30,שמחת תורה,חג
2024-05-04,יום שישי,יום רגיל
2024-05-05,שבת,חג
2024-05-11,יום שישי,יום רגיל
2024-05-12,שבת,חג
2024-05-18,יום שישי,יום רגיל
2024-05-19,שבת,חג
2024-05-25,יום שישי,יום רגיל
2024-05-26,שבת,חג
2024-06-01,יום שישי,יום רגיל
2024-06-02,שבת,חג
2024-06-08,יום שישי,יום רגיל
2024-06-09,שבת,חג
2024-06-15,יום שישי,יום רגיל
2024-06-16,שבת,חג
2024-06-22,יום שישי,יום רגיל
2024-06-23,שבת,חג
2024-06-29,יום שישי,יום רגיל
2024-06-30,שבת,חג
2024-07-06,יום שישי,יום רגיל
2024-07-07,שבת,חג
2024-07-13,יום שישי,יום רגיל
2024-07-14,שבת,חג
2024-07-20,יום שישי,יום רגיל
2024-07-21,שבת,חג
2024-07-27,יום שישי,יום רגיל
2024-07-28,שבת,חג
2024-08-03,יום שישי,יום רגיל
2024-08-04,שבת,חג
2024-08-10,יום שישי,יום רגיל
2024-08-11,שבת,חג
2024-08-17,יום שישי,יום רגיל
2024-08-18,שבת,חג
2024-08-24,יום שישי,יום רגיל
2024-08-25,שבת,חג
2024-08-31,יום שישי,יום רגיל
2024-09-01,שבת,חג
2024-09-07,יום שישי,יום רגיל
2024-09-08,שבת,חג
2024-09-14,יום שישי,יום רגיל
2024-09-15,שבת,חג
2024-09-21,יום שישי,יום רגיל
2024-09-22,שבת,חג
2024-09-28,יום שישי,יום רגיל
2024-09-29,שבת,חג
2024-10-05,יום שישי,יום רגיל
2024-10-06,שבת,חג
2024-10-12,יום שישי,יום רגיל
2024-10-13,שבת,חג
2024-10-16,פסח,ערב חג
2024-10-17,פסח,חג
2024-10-17,פסח,ערב חג
2024-10-18,פסח,חג
2024-10-18,פסח,חול המועד
2024-10-19,יום שישי,יום רגיל
2024-10-19,פסח,חול המועד
2024-10-20,שבת,חג
2024-10-20,פסח,חול המועד
2024-10-21,פסח,חול המועד
2024-10-22,פסח,חול המועד
2024-10-26,יום שישי,יום רגיל
2024-10-27,שבת,חג
2024-11-02,יום שישי,יום רגיל
2024-11-03,שבת,חג
2024-11-09,יום שישי,יום רגיל
2024-11-10,שבת,חג
2024-11-16,יום שישי,יום רגיל
2024-11-17,שבת,חג
2024-11-23,יום שישי,יום רגיל
2024-11-24,שבת,חג
2024-11-30,יום שישי,יום רגיל
2024-12-01,שבת,חג
2024-12-07,יום שישי,יום רגיל
2024-12-06,שבועות,ערב חג
2024-12-07,שבועות,חג
2024-12-08,שבת,חג
2024-12-14,יום שישי,יום רגיל
2024-12-15,שבת,חג
2024-12-21,יום שישי,יום רגיל
2024-12-22,שבת,חג
2024-12-28,יום שישי,יום רגיל
2024-12-29,שבת,חג
2025-01-04,יום שישי,יום רגיל
2025-01-05,שבת,חג
2025-01-11,יום שישי,יום רגיל
2025-01-12,שבת,חג
2025-01-18,יום שישי,יום רגיל
2025-01-19,שבת,חג
2025-01-25,יום שישי,יום רגיל
2025-01-26,שבת,חג
2025-02-01,יום שישי,יום רגיל
2025-02-02,שבת,חג
2025-02-08,יום שישי,יום רגיל
2025-02-09,שבת,חג
2025-02-15,יום שישי,יום רגיל
2025-02-16,שבת,חג
2025-02-22,יום שישי,יום רגיל
2025-02-23,שבת,חג
2019-09-01,תחילת שנת הלימודים בבתי ספר,יום רגיל
2020-09-01,תחילת שנת הלימודים בבתי ספר,יום רגיל
2021-09-01,תחילת שנת הלימודים בבתי ספר,יום רגיל
2022-09-01,תחילת שנת הלימודים בבתי ספר,יום רגיל
2023-09-01,תחילת שנת הלימודים בבתי ספר,יום רגיל
2024-09-01,תחילת שנת הלימודים בבתי ספר,יום רגיל
2019-10-27,פתיחת שנה אקדמית - מכללת רופין,יום רגיל
2020-11-01,פתיחת שנה אקדמית - מכללת רופין,יום רגיל
2021-10-24,פתיחת שנה אקדמית - מכללת רופין,יום רגיל
2022-10-23,פתיחת שנה אקדמית - מכללת רופין,יום רגיל
2023-10-22,פתיחת שנה אקדמית - מכללת רופין,יום רגיל
